amenity_id,amenity_name
143,"34 inch HDTV with standard cable, Amazon Prime Video, Disney+"
144,35 inch HDTV
145,"35 inch HDTV with Amazon Prime Video, Chromecast, Netflix, Roku"
146,35 inch HDTV with Chromecast
147,35 inch HDTV with Netflix
148,35 inch TV
149,36 inch HDTV
150,36 inch HDTV with Amazon Prime Video
151,36 inch HDTV with Apple TV
152,"36 inch HDTV with Fire TV, standard cable"
153,"36 inch HDTV with Hulu, standard cable, Fire TV"
154,36 inch HDTV with Netflix
155,36 inch HDTV with standard cable
156,36 inch TV
157,36 inch TV with Netflix
158,"36 inch TV with Netflix, Apple TV"
159,"36"" Bertazzoni stainless steel oven"
160,37 inch HDTV with Netflix
161,"37 inch HDTV with Netflix, Fire TV"
162,"37 inch HDTV with Netflix, premium cable"
163,"37 inch HDTV with Netflix, standard cable"
164,37 inch HDTV with Roku
165,"37 inch TV with Fire TV, Netflix"
166,"38 inch HDTV with Amazon Prime Video, Netflix, Roku"
167,"38 inch HDTV with Netflix, premium cable"
168,38 inch TV with standard cable
169,"39 inch HDTV with Amazon Prime Video, Chromecast, HBO Max, Netflix"
170,"39 inch HDTV with Disney+, Amazon Prime Video, Netflix"
171,39 inch HDTV with Netflix
172,39 inch HDTV with standard cable
173,39 inch TV
174,4 Burner Electric Stove with Oven oven
175,4 burners to cook with. the oven is not to be used. stainless steel electric stove
176,4 cook top burners available. no over baking allowed stainless steel oven
177,4 inch HDTV with Roku
178,"4 inch TV with Netflix, Amazon Prime Video"
179,40 inch HDTV
180,40 inch HDTV with Amazon Prime Video
181,"40 inch HDTV with Amazon Prime Video, Apple TV"
182,"40 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Fire TV, Netflix, standard cable"
183,"40 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix"
184,"40 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix, Roku"
185,"40 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix, standard cable"
186,"40 inch HDTV with Amazon Prime Video, Apple TV, Netflix"
187,"40 inch HDTV with Amazon Prime Video, Chromecast, Disney+, Fire TV, Netflix, standard cable"
188,"40 inch HDTV with Amazon Prime Video, Chromecast, Disney+, Netflix"
189,"40 inch HDTV with Amazon Prime Video, Chromecast, Netflix"
190,"40 inch HDTV with Amazon Prime Video, Chromecast, Netflix, Roku, standard cable"
191,"40 inch HDTV with Amazon Prime Video, Disney+, Fire TV, Netflix, Roku"
192,"40 inch HDTV with Amazon Prime Video, Disney+, Netflix"
193,"40 inch HDTV with Amazon Prime Video, Disney+, Netflix, Fire TV"
194,"40 inch HDTV with Amazon Prime Video, Disney+, Netflix, Roku"
195,"40 inch HDTV with Amazon Prime Video, Fire TV, Netflix"
196,"40 inch HDTV with Amazon Prime Video, Fire TV, standard cable"
197,"40 inch HDTV with Amazon Prime Video, HBO Max, DVD player, Netflix, Disney+, Fire TV"
198,"40 inch HDTV with Amazon Prime Video, HBO Max, Netflix"
199,"40 inch HDTV with Amazon Prime Video, HBO Max, Netflix, premium cable, standard cable"
200,"40 inch HDTV with Amazon Prime Video, Netflix"
201,"40 inch HDTV with Amazon Prime Video, Netflix, Disney+"
202,"40 inch HDTV with Amazon Prime Video, Netflix, Roku"
203,"40 inch HDTV with Amazon Prime Video, Netflix, standard cable"
204,"40 inch HDTV with Amazon Prime Video, Roku, Netflix"
205,"40 inch HDTV with Amazon Prime Video, standard cable"
206,40 inch HDTV with Apple TV
